#可能出现bug的包：
'url-parse': ['1.4.7', '1.5.3', '1.5.2', '1.5.0', '1.5.1']
url-parse,Authorization Bypass Through User-Controlled Key,<1.5.7,CVE-2022-0639,CWE-639,6.2,medium
url-parse,Authorization Bypass,<1.5.8,CVE-2022-0686,CWE-285,6.4,medium
url-parse,Improper Input Validation,<1.5.9,CVE-2022-0691,CWE-20,8.1,high
url-parse,Access Restriction Bypass,<1.5.6,CVE-2022-0512,CWE-639,6.4,medium
url-parse,Open Redirect,<1.5.2,CVE-2021-3664,CWE-601,5.3,medium
url-parse,Improper Input Validation,<1.5.0,CVE-2021-27515,CWE-20,5.3,medium
url-parse,Improper Input Validation,<1.4.5,CVE-2020-8124,CWE-20,8.1,high
url-parse,Open Redirect,<1.4.3,CVE-2018-3774,CWE-601,7.5,high
'normalize-url': ['4.3.0', '4.5.1', '3.3.0', '6.0.1', '3.1.0', '4.5.0', '4.4.1', '4.4.0', '6.1.0', '3.2.0']
normalize-url,Regular Expression Denial of Service (ReDoS),[>=6.0.0 <6.0.1,>=5.0.0 <5.3.1,>=4.4.0 <4.5.1],CVE-2021-33502,CWE-400,7.5,high
'querystringify': ['2.1.1', '2.2.0']
querystringify,Prototype Override,<2.0.0,CWE-20,[],7.4,high
